st_storekey, st_name, st_nation_name
1,Prime Mart,ALGERIA
2,Global Emporium,ARGENTINA
3,Trade Center,BRAZIL
4,Marketplace,CANADA
5,World Bazaar,EGYPT
6,Essentials Store,ETHIOPIA
7,Corner Market,FRANCE
8,Main Street Market,GERMANY
9,International Market,INDIA
10,Harbor Market,INDONESIA
11,Discovery Market,IRAQ
12,Pioneer Market,JORDAN
13,Safari Market,KENYA
14,Grand Bazaar,MOROCCO
15,Unity Mart,PERU
16,Golden Market,SAUDI ARABIA
17,Capital Mart,UNITED STATES
18,Global Market,RUSSIA
19,Central Market,UNITED KINGDOM
20,Unity Market,MOZAMBIQUE
21,Unity Market,VIETNAM
22,Trade Center,IRAN
23,Discovery Mart,JAPAN
24,Discovery Market,CHINA
25,Global Market,ROMANIA
26,Prime Mart,ALGERIA
27,Global Emporium,ARGENTINA
28,Trade Center,BRAZIL
29,Marketplace,CANADA
30,World Bazaar,EGYPT
31,Essentials Store,ETHIOPIA
32,Corner Market,FRANCE
33,Main Street Market,GERMANY
34,International Market,INDIA
35,Harbor Market,INDONESIA
36,Discovery Market,IRAQ
37,Pioneer Market,JORDAN
38,Safari Market,KENYA
39,Grand Bazaar,MOROCCO
40,Unity Mart,PERU
41,Golden Market,SAUDI ARABIA
42,Capital Mart,UNITED STATES
43,Global Market,RUSSIA
44,Central Market,UNITED KINGDOM
45,Unity Market,MOZAMBIQUE
46,Unity Market,VIETNAM
47,Trade Center,IRAN
48,Discovery Mart,JAPAN
49,Discovery Market,CHINA
50,Global Market,ROMANIA
51,Prime Mart,ALGERIA
52,Global Emporium,ARGENTINA
53,Trade Center,BRAZIL
54,Marketplace,CANADA
55,World Bazaar,EGYPT
56,Essentials Store,ETHIOPIA
57,Corner Market,FRANCE
58,Main Street Market,GERMANY
59,International Market,INDIA
60,Harbor Market,INDONESIA
61,Discovery Market,IRAQ
62,Pioneer Market,JORDAN
63,Safari Market,KENYA
64,Grand Bazaar,MOROCCO
65,Unity Mart,PERU
66,Golden Market,SAUDI ARABIA
67,Capital Mart,UNITED STATES
68,Global Market,RUSSIA
69,Central Market,UNITED KINGDOM
70,Unity Market,MOZAMBIQUE
71,Unity Market,VIETNAM
72,Trade Center,IRAN
73,Discovery Mart,JAPAN
74,Discovery Market,CHINA
75,Global Market,ROMANIA
